artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
Backstreet Boys,Show Me the Meaning of Being Lonely,234960,FALSE,1999,68,0.63,0.625,6,-5.088,0,0.0252,0.231,0,0.0765,0.683,167.998,pop
Samantha Mumba,Gotta Tell You,201946,FALSE,2018,43,0.729,0.632,0,-8.75,0,0.0279,0.191,0,0.166,0.774,109.981,pop
Mýa,Case Of The Ex (Whatcha Gonna Do),236906,FALSE,2000,59,0.772,0.688,1,-4.715,0,0.0405,0.0548,9.79E-05,0.0725,0.348,98,"pop, R&B"
Mary Mary,Shackles (Praise You),198346,FALSE,2000,64,0.779,0.834,7,-2.773,1,0.162,0.0343,0,0.0886,0.8,100.46,R&B
Next,Wifey,243666,FALSE,2004,52,0.829,0.652,7,-8.693,0,0.108,0.067,0,0.0812,0.726,99.581,"hip hop, pop, R&B"
Janet Jackson,Doesn't Really Matter,265026,FALSE,2001,47,0.771,0.796,5,-3.081,0,0.076,0.0993,0.00278,0.0981,0.801,99.316,"pop, R&B"
Ricky Martin,She Bangs - English Version,280626,FALSE,2000,60,0.63,0.95,1,-4.012,1,0.0806,0.000915,6.51E-06,0.373,0.858,143.866,"pop, latin"
Jagged Edge,He Can't Love U,244053,FALSE,2000,55,0.721,0.836,8,-3.972,0,0.206,0.112,0,0.235,0.508,126.279,"hip hop, pop, R&B"
Sisqo,Incomplete,274226,TRUE,1999,60,0.746,0.443,1,-7.693,0,0.0771,0.282,0,0.14,0.272,119.311,"hip hop, pop, R&B"
JAY-Z,I Just Wanna Love U (Give It 2 Me),227866,TRUE,2000,59,0.8,0.922,4,-5.125,0,0.24,0.301,9.31E-06,0.0352,0.801,98.631,hip hop
Mariah Carey,Thank God I Found You (feat. Joe & 98°),257360,FALSE,1999,59,0.348,0.532,10,-5.882,1,0.0331,0.592,0,0.106,0.148,129.297,"pop, R&B"
Baha Men,Who Let The Dogs Out,198400,FALSE,2000,65,0.869,0.887,0,-4.505,1,0.0993,0.0605,0,0.148,0.784,129.221,R&B
Donell Jones,"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)",243733,TRUE,1999,63,0.854,0.543,8,-6.166,0,0.0844,0.0402,5.73E-05,0.0419,0.868,103.032,"pop, R&B"
LeAnn Rimes,Can't Fight The Moonlight,215506,FALSE,2001,65,0.628,0.834,6,-6.341,0,0.0497,0.403,0,0.051,0.626,97.865,"pop, country"
Oasis,Go Let It Out,278666,FALSE,2000,0,0.408,0.849,2,-5.631,1,0.0333,0.0136,2.51E-05,0.56,0.628,84.192,"Folk/Acoustic, rock"
DJ Ötzi,Hey Baby (Radio Mix),219240,FALSE,2010,58,0.666,0.968,10,-3.196,1,0.046,0.123,0,0.347,0.834,135.099,"pop, easy listening, Dance/Electronic"
P!nk,Most Girls,298960,FALSE,2000,52,0.742,0.732,2,-6.046,0,0.0311,0.0424,0.00446,0.101,0.694,97.922,pop
Mariah Carey,Against All Odds (Take A Look at Me Now) (feat. Westlife),199480,FALSE,2011,0,0.471,0.514,1,-5.599,1,0.0315,0.584,0,0.103,0.373,117.338,"pop, R&B"
Craig David,Fill Me In,257200,FALSE,2000,60,0.682,0.744,8,-6.981,1,0.0365,0.376,0.00951,0.06,0.827,132.493,"hip hop, pop, R&B"
Christina Aguilera,I Turn to You,273706,FALSE,1999,61,0.599,0.47,1,-8.356,1,0.0376,0.38,0,0.111,0.298,127.177,pop
Madonna,American Pie,273533,FALSE,2000,58,0.631,0.734,5,-7.48,0,0.036,0.348,0,0.135,0.591,124.036,pop
Red Hot Chili Peppers,Otherside,255373,FALSE,1999,78,0.458,0.795,0,-3.265,1,0.0574,0.00316,0.000202,0.0756,0.513,123.229,rock
Sammie,I Like It,251040,FALSE,2000,55,0.826,0.656,9,-8.529,1,0.0617,0.0101,0.000113,0.0272,0.852,129.963,"hip hop, pop, R&B"
Craig David,7 Days,235133,FALSE,2000,70,0.659,0.812,4,-7.499,0,0.0487,0.23,0,0.0951,0.888,83.014,"hip hop, pop, R&B"
Santana,Maria Maria (feat. The Product G&B),261973,FALSE,1999,66,0.777,0.601,2,-5.931,1,0.126,0.0406,0.00201,0.0348,0.68,97.911,"rock, blues, latin"
Kandi,Don't Think I'm Not,243533,FALSE,2000,55,0.859,0.622,11,-8.196,1,0.0445,0.0661,0,0.0394,0.433,134.007,"pop, R&B"
P!nk,There You Go,202800,FALSE,2000,55,0.822,0.847,10,-6.729,0,0.0917,0.0854,0,0.0452,0.668,107.908,pop
Vengaboys,Shalala Lala,214819,FALSE,2000,58,0.751,0.901,2,-5.802,1,0.0328,0.0504,0.00308,0.0395,0.973,124.017,pop
Ronan Keating,Life Is A Rollercoaster,234826,FALSE,2000,59,0.655,0.791,0,-8.923,1,0.0302,0.1,0.000124,0.334,0.862,118.981,"pop, rock"
Madison Avenue,Don't Call Me Baby,228140,FALSE,1999,56,0.808,0.982,3,-6.588,0,0.0311,0.0585,0.00689,0.35,0.961,124.999,Dance/Electronic
Destiny's Child,"Jumpin', Jumpin'",230200,FALSE,1999,70,0.771,0.685,1,-4.639,1,0.0567,0.00543,0.00157,0.0537,0.683,88.997,"pop, R&B"
Céline Dion,That's the Way It Is,241373,FALSE,1999,64,0.634,0.886,9,-5.424,1,0.0434,0.154,0,0.118,0.577,93.04,pop
3 Doors Down,Kryptonite,233933,FALSE,2000,78,0.545,0.865,11,-5.708,0,0.0286,0.00664,1.10E-05,0.168,0.543,99.009,"pop, rock, metal"
Carl Thomas,I Wish,226760,FALSE,2000,52,0.736,0.666,1,-4.929,1,0.0337,0.0593,3.82E-05,0.107,0.224,89.824,"pop, R&B"
Mystikal,Shake Ya Ass,256973,TRUE,2000,57,0.914,0.607,7,-5.658,1,0.32,0.0626,0,0.0515,0.666,98.054,"hip hop, pop"
Fuel,Hemorrhage (In My Hands),236866,FALSE,2000,49,0.313,0.831,1,-3.894,1,0.0404,0.000127,0.000341,0.24,0.332,152.034,"rock, pop, metal"
Donell Jones,Where I Wanna Be,253626,FALSE,1999,57,0.664,0.396,5,-9.131,0,0.0298,0.52,0,0.268,0.453,102.053,"pop, R&B"
Savage Garden,Crash and Burn,281466,FALSE,1999,54,0.581,0.607,4,-8.458,1,0.028,0.189,1.60E-06,0.0882,0.213,102.03,pop
Westlife,My Love,231760,FALSE,2000,68,0.491,0.593,0,-5.975,1,0.0255,0.098,0,0.257,0.328,144.142,pop
All Saints,Pure Shores,268746,FALSE,2000,62,0.631,0.664,6,-9.197,1,0.0242,0.0498,0.00042,0.0696,0.407,100.618,pop
Destiny's Child,"Independent Women, Pt. 1",221133,FALSE,2001,65,0.73,0.602,6,-3.782,0,0.206,0.362,3.69E-06,0.169,0.927,97.954,"pop, R&B"
*NSYNC,It's Gonna Be Me,191040,FALSE,2000,60,0.644,0.874,0,-4.666,0,0.0801,0.0459,2.24E-06,0.0584,0.882,165.09,pop
Erykah Badu,Bag Lady,348893,FALSE,2000,54,0.724,0.416,5,-8.964,0,0.0841,0.365,0,0.0969,0.578,151.181,"hip hop, R&B"
Marc Anthony,You Sang To Me,347106,FALSE,1999,56,0.578,0.894,10,-5.42,1,0.0296,0.0103,2.66E-06,0.216,0.741,165.98,"pop, latin"
Matchbox Twenty,Bent,256133,FALSE,2000,54,0.518,0.83,6,-6.814,0,0.0386,0.0404,3.85E-06,0.375,0.527,95.468,"pop, rock"
Gabrielle,Rise,219093,FALSE,2001,60,0.558,0.481,8,-9.487,1,0.026,0.315,8.83E-06,0.09,0.631,144.673,"pop, R&B"
Backstreet Boys,Shape of My Heart,230093,FALSE,2000,70,0.575,0.786,9,-4.353,1,0.0296,0.252,0,0.159,0.518,96.102,pop
Creed,With Arms Wide Open,274800,FALSE,1999,64,0.41,0.539,0,-8.412,1,0.0302,0.00425,0.00089,0.117,0.141,138.852,"pop, rock, metal"
The Corrs,Breathless,207506,FALSE,2000,68,0.607,0.82,11,-7.754,1,0.0597,0.0541,6.80E-05,0.269,0.768,126.988,"pop, Folk/Acoustic"
Joe,I Wanna Know,296693,FALSE,2000,65,0.725,0.487,8,-5.959,0,0.0368,0.26,1.09E-05,0.431,0.599,136.086,"pop, R&B"
Wheatus,Teenage Dirtbag,241666,TRUE,1999,71,0.625,0.85,4,-3.904,1,0.0495,0.346,0.000233,0.174,0.633,94.661,set()
Christina Aguilera,Come on over Baby (All I Want Is You) - Radio Version,203333,FALSE,1999,64,0.829,0.915,8,-3.205,1,0.106,0.226,1.25E-05,0.246,0.779,118.903,pop
Creed,Higher,316733,FALSE,1999,69,0.459,0.83,2,-6.254,1,0.0364,5.15E-05,0.00014,0.206,0.431,155.827,"pop, rock, metal"
Britney Spears,Lucky,206226,FALSE,2000,65,0.765,0.791,8,-5.707,1,0.0317,0.262,0.000154,0.0669,0.966,95.026,pop
Nelly,Country Grammar (Hot Shit),287000,TRUE,2000,68,0.865,0.664,2,-6.822,1,0.108,0.00689,0,0.142,0.565,162.831,"hip hop, pop, R&B"
Shaggy,It Wasn't Me,227600,FALSE,2000,76,0.853,0.606,0,-4.596,1,0.0713,0.0561,0,0.313,0.654,94.759,"hip hop, pop"
Destiny's Child,Survivor,254026,FALSE,2001,70,0.514,0.911,1,-2.027,0,0.41,0.0559,0,0.775,0.619,161.109,"pop, R&B"
Eminem,Stan,404106,TRUE,2000,83,0.78,0.768,6,-4.325,0,0.238,0.0371,2.34E-06,0.518,0.507,80.063,hip hop
Kylie Minogue,Can't Get You out of My Head,230640,FALSE,2001,73,0.766,0.563,9,-7.516,0,0.0339,0.0263,0.683,0.115,0.964,126.007,"pop, Dance/Electronic"
Christina Aguilera,"Lady Marmalade - From ""Moulin Rouge"" Soundtrack",264893,FALSE,2001,68,0.76,0.801,5,-3.769,1,0.0534,0.0144,1.49E-05,0.665,0.653,109.919,pop
Nelly Furtado,I'm Like A Bird,243160,FALSE,2000,1,0.622,0.608,10,-5.085,1,0.036,0.138,5.38E-06,0.273,0.607,89.661,"hip hop, pop, latin"
Shakira,"Whenever, Wherever",196160,FALSE,2001,74,0.794,0.832,1,-4.862,0,0.0407,0.237,1.14E-05,0.203,0.871,107.657,"pop, latin"
Jimmy Eat World,The Middle,165853,FALSE,2001,78,0.643,0.849,2,-5.428,1,0.0526,0.0371,0,0.058,0.903,162.152,"rock, pop"
Train,Drops of Jupiter (Tell Me),259933,FALSE,2001,77,0.481,0.638,0,-5.862,1,0.0276,0.153,0,0.154,0.497,79.064,pop
Geri Halliwell,It's Raining Men,254640,FALSE,2001,62,0.637,0.929,5,-6.03,0,0.0447,0.063,0.00796,0.318,0.604,136.482,pop
Blu Cantrell,Hit 'Em Up Style (Oops!),250706,FALSE,2001,71,0.667,0.773,5,-4.983,0,0.0586,0.201,0,0.404,0.667,89.976,"pop, R&B"
Britney Spears,I'm a Slave 4 U,203600,FALSE,2001,69,0.847,0.843,5,-3.579,0,0.106,0.415,0.000134,0.107,0.963,110.027,pop
Kylie Minogue,In Your Eyes,197826,FALSE,2001,62,0.689,0.894,6,-6.342,0,0.0672,0.133,4.72E-05,0.0681,0.709,123.971,"pop, Dance/Electronic"
Missy Elliott,One Minute Man (feat. Ludacris),252986,TRUE,2001,57,0.622,0.669,9,-8.419,1,0.329,0.0266,2.97E-06,0.152,0.57,93.839,"hip hop, pop, R&B"
Mary J. Blige,Family Affair,265866,FALSE,2001,76,0.911,0.551,8,-3.75,0,0.0449,0.132,4.12E-05,0.0863,0.969,92.887,"pop, R&B"
Faithless,We Come 1 - Radio Edit,222435,FALSE,2015,53,0.645,0.903,5,-10.587,0,0.0441,0.00188,0.799,0.147,0.61,135.977,"pop, Dance/Electronic"
Limp Bizkit,Rollin' (Air Raid Vehicle),213760,TRUE,2000,73,0.603,0.933,1,-3.358,1,0.171,0.00591,0,0.206,0.709,96.306,metal
Lasgo,Something,220973,FALSE,2001,65,0.643,0.981,7,-6.644,0,0.0439,0.0271,8.93E-05,0.11,0.38,140.01,pop
iio,Rapture (feat.Nadia Ali),253586,FALSE,2006,54,0.661,0.855,8,-8.403,1,0.0377,0.0722,0.0185,0.199,0.601,123.943,Dance/Electronic
Emma Bunton,What Took You So Long?,241000,FALSE,2001,54,0.668,0.772,9,-5.4,0,0.0307,0.123,0,0.341,0.911,118.011,pop
112,It's Over Now,264933,FALSE,2001,57,0.66,0.71,1,-4.541,1,0.0409,0.0106,7.01E-06,0.0736,0.233,97.988,"hip hop, pop, R&B"
Blue,All Rise,223546,FALSE,2001,63,0.721,0.737,5,-2.734,0,0.0324,0.121,0,0.165,0.931,97.996,pop
Jessica Simpson,Irresistible,194026,FALSE,2001,43,0.657,0.965,8,-2.771,0,0.0556,0.0285,8.84E-05,0.0552,0.669,93.013,"pop, R&B"
Crazy Town,Butterfly,216733,FALSE,1999,71,0.736,0.811,9,-4.17,0,0.081,0.00132,0.000142,0.107,0.609,103.502,"rock, metal"
Michael Jackson,You Rock My World,337733,FALSE,2001,64,0.854,0.673,4,-3.132,0,0.185,0.038,0.000227,0.255,0.955,95,"pop, R&B"
Eve,Let Me Blow Ya Mind,230133,TRUE,2001,73,0.908,0.557,8,-4.243,0,0.107,0.242,0,0.0709,0.897,90.032,"hip hop, pop, R&B"
Jennifer Lopez,Ain't It Funny,246160,FALSE,2001,0,0.707,0.869,5,-4.525,0,0.0481,0.104,0.000121,0.0813,0.621,99.825,"hip hop, pop, R&B"
Brandy,Another Day in Paradise - R&B-Version,271626,FALSE,2002,50,0.7,0.787,6,-5.176,0,0.0327,0.00666,3.68E-05,0.0724,0.556,102.043,"hip hop, pop, R&B"
Nickelback,How You Remind Me,223840,FALSE,2001,78,0.446,0.764,10,-5.042,1,0.033,0.00135,0,0.099,0.543,172.094,"rock, metal"
Daft Punk,One More Time,320357,FALSE,2001,76,0.613,0.697,2,-8.618,1,0.133,0.0194,0,0.332,0.476,122.746,"hip hop, Dance/Electronic"
Outkast,Ms. Jackson,270506,TRUE,2000,82,0.843,0.806,4,-5.946,0,0.269,0.143,0,0.0771,0.613,94.948,"hip hop, pop"
Fragma,Everytime You Need Me - Radio Version,213346,FALSE,2001,50,0.682,0.917,11,-5.459,0,0.0318,0.15,0.0676,0.34,0.79,137.029,"pop, Dance/Electronic"
Mariah Carey,Loverboy,229173,FALSE,2001,42,0.721,0.79,1,-4.125,1,0.124,0.183,0,0.1,0.821,103.141,"pop, R&B"
Dido,Thank You,218360,FALSE,1999,73,0.725,0.583,1,-9.942,0,0.0427,0.3,0.000238,0.0665,0.762,79.984,pop
Joe,Stutter (feat. Mystikal) - Double Take Remix,213026,FALSE,2000,57,0.767,0.759,6,-6.516,1,0.117,0.0513,0,0.31,0.677,89.989,"pop, R&B"
P.O.D.,Youth of the Nation,256240,FALSE,2001,69,0.563,0.86,8,-7.533,1,0.0621,0.00834,0.0106,0.39,0.517,97.867,"rock, metal"
Jennifer Lopez,Play,211493,TRUE,2001,57,0.775,0.729,1,-4.229,0,0.162,0.0303,0.00247,0.0361,0.895,104.719,"hip hop, pop, R&B"
Missy Elliott,Get Ur Freak On,211120,TRUE,2001,68,0.797,0.75,0,-9.369,1,0.247,0.533,0.108,0.095,0.74,177.87,"hip hop, pop, R&B"
Ricky Martin,Nobody Wants to Be Lonely (with Christina Aguilera),252706,FALSE,2008,52,0.635,0.854,10,-5.02,0,0.0612,0.00579,0.0083,0.0623,0.59,100.851,"pop, latin"
Christina Milian,AM To PM,231213,FALSE,2001,60,0.872,0.868,10,-3.036,0,0.12,0.153,2.26E-05,0.843,0.822,105.005,"hip hop, pop, R&B"
Roger Sanchez,Another Chance,452906,FALSE,2000,50,0.61,0.82,3,-10.029,1,0.0312,0.000211,0.146,0.138,0.45,127.993,Dance/Electronic
Gorillaz,Clint Eastwood,340920,TRUE,2001,74,0.663,0.694,10,-8.627,0,0.171,0.0253,0,0.0698,0.525,167.953,hip hop
2Pac,Until The End Of Time,266506,TRUE,2001,57,0.757,0.706,8,-6.665,1,0.203,0.0267,0,0.197,0.375,96.976,hip hop
Tamia,Stranger in My House,285386,FALSE,2000,48,0.676,0.601,0,-4.905,1,0.0297,0.103,0,0.147,0.206,119.94,"pop, R&B"
Mary J. Blige,No More Drama,326240,FALSE,2001,61,0.653,0.837,6,-6.818,0,0.124,0.534,7.12E-05,0.0784,0.64,97.914,"pop, R&B"
Jennifer Lopez,Love Don't Cost a Thing,221226,FALSE,2001,67,0.786,0.842,4,-5.115,0,0.0707,0.00305,3.54E-06,0.473,0.685,97.577,"hip hop, pop, R&B"
Jamiroquai,Little L,295400,FALSE,2001,65,0.878,0.724,10,-5.373,0,0.129,0.168,0.0116,0.133,0.904,121.906,pop
Case,Missing You,284666,FALSE,2001,55,0.612,0.579,1,-6.417,0,0.0553,0.285,0,0.0556,0.716,86.31,"hip hop, pop, R&B"
112,Peaches & Cream,193093,FALSE,2001,63,0.677,0.52,4,-6.255,0,0.334,0.00277,0,0.0532,0.768,203.862,"hip hop, pop, R&B"
Five,Let's Dance - Radio Edit,218626,FALSE,2001,47,0.631,0.821,4,-7.853,0,0.0867,0.00876,0.000247,0.293,0.547,118.007,pop
Rui Da Silva,Touch Me (Radio Edit) [feat. Cassandra],213133,FALSE,2001,54,0.464,0.922,0,-8.399,1,0.0638,0.124,0.227,0.0546,0.695,129.078,Dance/Electronic
Alien Ant Farm,Smooth Criminal,209266,FALSE,2001,75,0.653,0.964,9,-4.261,0,0.0582,0.00316,0.00512,0.144,0.87,126.928,"rock, metal"
Erick Sermon,Music (feat. Marvin Gaye),223133,TRUE,2001,57,0.897,0.466,10,-9.053,0,0.203,0.187,1.35E-06,0.0757,0.884,100.01,"hip hop, pop"
D12,Purple Pills,304506,TRUE,2001,68,0.78,0.634,1,-5.941,1,0.16,0.0199,2.98E-05,0.29,0.754,125.25,"hip hop, pop, rock"
Usher,Pop Ya Collar - Radio Edit,210813,FALSE,2016,26,0.888,0.8,5,-3.944,0,0.0946,0.0901,2.12E-05,0.229,0.866,106.957,"hip hop, pop, R&B"
Madonna,Don't Tell Me,280973,FALSE,2000,53,0.699,0.618,7,-7.338,1,0.0594,0.0502,0.000925,0.0914,0.679,99.965,pop
Blue,If You Come Back,207560,FALSE,2001,58,0.582,0.707,10,-4.487,1,0.0319,0.0822,0,0.0467,0.701,78.375,pop
Atomic Kitten,Eternal Flame - Single Version,195506,FALSE,2001,58,0.578,0.581,0,-6.867,1,0.0318,0.0658,0.0042,0.0674,0.408,83.293,pop
Jagged Edge,Where the Party At (feat. Nelly),232573,FALSE,2001,67,0.596,0.661,5,-6.239,0,0.226,0.31,0,0.0847,0.86,129.491,"hip hop, pop, R&B"
Afroman,Because I Got High,197760,TRUE,2001,68,0.802,0.341,7,-8.56,1,0.488,0.169,0,0.0783,0.849,166.01,hip hop
S Club 7,Don't Stop Movin',233626,FALSE,2001,63,0.822,0.672,7,-6.133,1,0.0329,0.0285,0,0.213,0.91,117.033,pop
Craig David,Fill Me In,257200,FALSE,2000,60,0.682,0.744,8,-6.981,1,0.0365,0.376,0.00951,0.06,0.827,132.493,"hip hop, pop, R&B"
Nelly Furtado,Turn Off The Light,276106,FALSE,2000,1,0.587,0.679,2,-6.26,1,0.0927,0.0839,0.000316,0.413,0.65,180.184,"hip hop, pop, latin"
The Supermen Lovers,Starlight - Radio Edit,234400,FALSE,2001,61,0.739,0.679,0,-5.079,1,0.0373,0.000424,0.0187,0.389,0.786,127.487,Dance/Electronic
Mis-Teeq,All I Want - Sunship Radio Edit,207400,FALSE,2004,46,0.795,0.919,9,-3.07,0,0.0835,0.37,0.00863,0.189,0.96,134.079,"pop, Dance/Electronic"
Jagged Edge,Promise,246720,FALSE,2000,56,0.751,0.568,5,-5.431,0,0.0872,0.136,0,0.0288,0.646,128.002,"hip hop, pop, R&B"
S Club 7,Have You Ever,201533,FALSE,2001,60,0.585,0.702,0,-5.734,1,0.0325,0.538,0,0.216,0.51,139.909,pop
Enya,Only Time,218546,FALSE,2000,69,0.418,0.249,3,-13.744,1,0.0301,0.841,0.661,0.112,0.213,82.803,"World/Traditional, Folk/Acoustic"
Faith Hill,There You'll Be,222120,FALSE,2001,60,0.321,0.511,8,-7.77,1,0.0306,0.513,0,0.127,0.17,128.98,"pop, country"
Ronan Keating,Lovin' Each Day,212973,FALSE,2000,58,0.541,0.899,1,-6.261,1,0.0633,0.0178,2.95E-06,0.286,0.829,106.676,"pop, rock"
Destiny's Child,Bootylicious,207906,FALSE,2001,64,0.84,0.835,1,-4.386,0,0.275,0.00281,1.11E-06,0.152,0.637,103.376,"pop, R&B"
